schoolsup,famsup,paid,internet,higher,Medu,Fedu,studytime,absences,failures,cluster
no,yes,no,no,yes,3,4,2,2.0,0,0
no,yes,no,yes,yes,4,4,3,0.0,0,0
no,no,no,yes,yes,4,1,1,1.0,0,0
no,no,no,no,yes,2,2,3,0.0,0,1
no,yes,yes,yes,yes,2,2,1,5.0,0,1
no,yes,no,no,yes,4,4,1,1.0,0,0
no,yes,no,yes,yes,3,3,1,8.0,0,0
no,no,no,yes,yes,1,1,2,0.0,0,1
no,no,no,yes,yes,2,1,2,2.0,0,1
no,no,no,yes,yes,2,1,2,0.0,0,1
no,yes,no,yes,yes,4,4,1,0.0,0,0
no,yes,no,no,yes,1,2,2,11.0,0,1
no,yes,no,no,yes,2,2,4,8.0,0,1
no,no,no,yes,yes,2,1,1,11.0,0,1
no,yes,no,no,yes,2,2,3,2.0,0,1
no,yes,no,yes,yes,4,1,2,8.0,0,0
no,no,no,no,yes,3,2,1,5.0,0,0
yes,no,yes,no,yes,2,2,2,0.0,0,1
no,yes,no,yes,yes,4,4,3,1.0,0,0
no,no,no,yes,yes,4,4,1,2.0,3,0
no,no,no,no,yes,1,3,1,2.0,0,1
no,yes,no,yes,yes,3,4,2,8.0,1,0
no,yes,no,yes,yes,4,4,2,0.0,0,0
no,no,no,yes,yes,4,1,1,0.0,0,0
no,no,no,yes,yes,1,1,2,2.0,0,1
yes,yes,no,yes,yes,4,2,2,0.0,0,0
no,yes,no,yes,yes,2,2,2,0.0,0,1
no,yes,yes,yes,yes,3,2,2,0.0,0,0
no,yes,no,yes,no,1,1,2,2.0,2,1
no,no,no,no,yes,1,0,1,4.0,0,1
no,yes,no,yes,no,1,1,1,3.0,0,1
yes,yes,no,yes,yes,1,2,3,5.0,0,1
no,no,no,no,yes,1,2,1,4.0,0,1
no,yes,no,yes,yes,3,1,2,2.0,3,1
no,no,no,no,no,2,2,1,0.0,0,1
yes,yes,no,no,yes,1,0,1,0.0,1,1
no,yes,no,yes,yes,1,1,1,0.0,0,1
no,yes,no,no,yes,1,1,2,6.0,0,1
no,no,no,no,yes,2,2,2,0.0,0,1
no,no,no,no,yes,2,2,1,0.0,1,1
no,no,no,yes,yes,3,2,1,2.0,0,0
no,no,no,yes,yes,1,1,1,0.0,0,1
no,yes,no,yes,no,1,1,1,2.0,1,1
no,no,no,yes,no,3,2,1,0.0,1,1
no,no,no,no,yes,3,2,1,4.0,3,1
no,yes,no,yes,no,3,3,2,9.0,2,0
no,yes,no,yes,yes,2,2,1,6.0,0,1
no,no,no,yes,no,2,1,1,4.0,3,1
no,yes,no,no,yes,3,2,2,8.0,2,1
no,yes,no,no,yes,1,1,1,9.0,0,1
no,yes,no,yes,no,1,1,1,12.0,1,1
no,yes,no,yes,yes,4,3,1,8.0,0,0
no,yes,no,yes,yes,3,2,1,8.0,0,0
no,no,no,yes,yes,1,1,2,8.0,1,1
no,yes,no,yes,yes,3,3,2,4.0,1,0
no,no,no,yes,no,1,3,1,0.0,0,1
no,yes,no,yes,yes,1,1,1,4.0,1,1
no,yes,no,no,yes,1,2,2,2.0,2,1
no,yes,no,no,no,1,1,1,0.0,0,1
no,no,no,yes,no,2,2,1,0.0,1,1
no,yes,no,yes,yes,0,0,1,0.0,0,1
no,yes,yes,no,no,3,1,3,5.0,0,1
yes,yes,no,yes,yes,4,2,2,0.0,0,0
no,yes,no,yes,yes,2,2,2,3.0,1,1
no,yes,no,no,yes,4,1,1,0.0,0,0
no,no,no,yes,yes,1,2,1,0.0,0,1
no,no,no,no,yes,1,1,2,3.0,2,1
no,no,no,yes,yes,2,2,2,2.0,0,1
no,yes,no,yes,yes,3,3,1,0.0,0,0
no,no,no,yes,yes,1,2,2,0.0,0,1
no,no,no,yes,yes,4,4,2,0.0,0,0
no,yes,no,yes,yes,4,4,1,3.0,0,0
no,yes,no,yes,yes,4,2,2,0.0,0,0
no,no,no,no,yes,2,2,2,0.0,1,1
no,yes,no,no,yes,1,2,1,8.0,0,1
no,yes,yes,yes,yes,4,4,1,5.0,0,0
no,no,no,no,no,1,1,1,4.0,0,1
no,yes,no,yes,yes,2,2,2,4.0,0,1
no,no,no,yes,yes,2,2,3,0.0,0,1
no,no,no,yes,yes,4,2,2,0.0,0,0
no,no,no,no,no,1,1,2,2.0,1,1
no,no,no,no,no,1,1,1,0.0,1,1
no,no,no,yes,yes,4,2,4,0.0,0,0
no,no,no,yes,yes,2,1,2,5.0,0,1
no,no,no,no,yes,1,1,2,2.0,0,1
no,yes,no,no,no,1,2,2,0.0,0,1
no,yes,no,no,no,1,1,2,0.0,3,1
no,no,no,yes,yes,2,2,3,5.0,0,1
no,yes,yes,yes,yes,4,3,2,4.0,1,0
no,yes,no,no,yes,3,3,2,0.0,0,0
no,yes,yes,yes,yes,4,4,2,2.0,0,0
no,no,no,no,yes,3,2,2,0.0,0,0
no,no,no,yes,yes,1,1,1,2.0,0,1
no,no,no,yes,yes,1,1,3,0.0,0,1
no,no,no,no,yes,1,2,2,0.0,0,1
no,yes,no,yes,yes,3,3,2,6.0,0,0
no,yes,no,yes,yes,4,4,2,4.0,0,0
no,no,no,no,yes,1,2,2,0.0,0,1
no,yes,yes,no,yes,1,3,2,0.0,0,1
no,no,no,yes,yes,4,4,3,0.0,0,0
no,yes,no,yes,yes,1,1,1,0.0,1,1
no,yes,no,yes,yes,2,3,1,0.0,0,0
no,yes,no,yes,yes,4,4,2,0.0,0,0
no,yes,no,yes,no,1,2,1,3.0,0,1
no,no,no,no,yes,2,2,3,8.0,0,1
no,no,no,yes,yes,1,2,1,4.0,0,1
no,no,no,yes,yes,4,4,3,0.0,0,0
no,no,no,yes,yes,1,1,3,4.0,0,1
no,yes,no,yes,yes,1,1,2,4.0,1,1
no,no,no,yes,yes,4,4,2,1.0,0,0
no,no,no,yes,yes,3,3,2,1.0,0,0
no,yes,no,yes,yes,3,1,2,10.0,0,1
no,no,no,yes,yes,4,4,2,4.0,0,0
no,no,no,yes,yes,2,1,1,0.0,0,1
no,no,no,yes,yes,2,3,2,4.0,0,0
no,no,no,no,yes,1,1,1,0.0,1,1
no,no,yes,no,yes,4,2,1,0.0,1,0
no,no,no,no,yes,2,2,3,0.0,0,1
no,no,no,yes,yes,4,3,2,0.0,0,0
no,yes,no,yes,yes,4,4,1,4.0,0,0
no,no,no,yes,yes,2,3,3,4.0,1,1
no,yes,no,yes,yes,3,1,2,4.0,0,1
no,no,no,no,yes,1,1,2,6.0,0,1
no,no,no,yes,yes,3,1,1,6.0,0,1
no,no,no,yes,yes,3,2,1,4.0,0,0
